qcd_elec,qcd_elec_err,qcd_muon,qcd_muon_err,vjets_elec,vjets_elec_err,vjets_muon,vjets_muon_err
0.173,0.052,0.585,0.121,1.417,0.019,1.337,0.015
0.256,0.067,0.607,0.158,1.387,0.022,1.345,0.017
0.106,0.084,0.596,0.163,1.450,0.033,1.325,0.024
0.149,0.315,0.944,0.532,1.424,0.088,1.309,0.044
0.873,0.100,0.000,0.105,1.227,0.029,1.382,0.011
