Sig Yield, Bkg Yield, Significance : cut points
194, 4445, 0.431617:  200.331 256.185
194, 5225, 0.367789:  63.5626 285.56
64, 2052, 0.304558:  247.447 286.618
917, 14640, 0.624238:  106.913 217.988
88, 2843, 0.304228:  203.522 290.443
2719, 255366, 0.106454:  17.0754 101.346
92, 2775, 0.325715:  214.458 285.466
197, 5170, 0.377412:  90.0483 282.705
2216, 81069, 0.273179:  34.6021 148.368
1363, 27555, 0.493752:  89.0935 187.368
306, 6107, 0.497012:  181.002 243.499
255, 5252, 0.480972:  204.775 231.912
1309, 19749, 0.661147:  39.6013 216.374
845, 13557, 0.621008:  36.2971 236.974
1027, 29193, 0.351196:  137.113 139.095
1186, 37986, 0.31181:  126.432 135.23
1817, 69252, 0.262186:  72.2643 144.04
513, 9620, 0.530514:  65.7552 251.116
52, 1689, 0.299146:  226.64 318.694
2090, 135470, 0.154221:  58.7576 115.087
1675, 31358, 0.533304:  42.2651 192.346
390, 6908, 0.56052:  189.255 223.687
2426, 185025, 0.131082:  36.9038 109.106
774, 12876, 0.598798:  31.6097 240.408
967, 15008, 0.642187:  48.2641 229.446
386, 7510, 0.510593:  133.521 250.476
175, 4362, 0.396671:  187.035 266.08
2020, 51062, 0.395211:  32.6865 170.657
1671, 31023, 0.537767:  41.0304 193.159
494, 8525, 0.576103:  151.419 235.283
319, 6228, 0.50814:  167.815 248.8
1986, 124307, 0.159702:  67.2882 115.09
286, 6541, 0.433938:  122.015 262.388
1861, 73831, 0.251892:  69.0551 142.022
1752, 144206, 0.121451:  87.9849 54.4127
1296, 19258, 0.671227:  27.0593 219.538
1344, 40736, 0.329525:  112.57 152.269
2354, 81477, 0.288739:  17.5033 151.789
1279, 37198, 0.343374:  117.096 154.806
1040, 15874, 0.653105:  32.2143 229.065
113, 3160, 0.352068:  232.735 241.501
870, 18279, 0.474659:  148.559 177.969
1564, 56099, 0.278545:  96.3631 143.471
1023, 15714, 0.64895:  32.616 229.557
868, 13902, 0.622137:  20.9396 237.546
608, 10452, 0.578944:  167.714 207.698
1888, 201929, 0.0934751:  78.0366 57.6333
1498, 39658, 0.377254:  92.5487 165.878
1865, 131698, 0.141558:  78.7445 101.786
12, 333, 0.31602:  326.356 411.314
78, 2392, 0.319477:  237.199 282.039
889, 14048, 0.63059:  30.8762 235.742
101, 2932, 0.338746:  234.628 256.975
338, 6499, 0.516124:  177.978 240.427
779, 12570, 0.617279:  70.529 235.168
448, 8353, 0.533152:  186.519 197.867
558, 9917, 0.559855:  97.7915 243.227
1481, 57863, 0.255728:  104.762 133.817
1995, 77093, 0.258611:  55.1968 144.866
430, 8634, 0.495172:  71.0291 256.397
1163, 18018, 0.643682:  62.3087 217.073
1350, 20534, 0.655851:  32.8002 215.559
1361, 20201, 0.672068:  27.6273 216.999
2120, 53790, 0.393759:  22.9165 169.909
333, 6445, 0.512717:  179.478 240.261
244, 4987, 0.484439:  199.56 245.858
12, 399, 0.268933:  342.622 371.457
140, 3821, 0.361694:  174.302 280.892
982, 16089, 0.608467:  107.935 212.18
1028, 15981, 0.641261:  83.7962 218.975
2658, 457091, 0.058144:  28.7304 70.5453
323, 7461, 0.430045:  45.4093 268.254
596, 9759, 0.607613:  163.561 217.944
2097, 100909, 0.207708:  54.1617 132.046
2015, 167782, 0.120061:  67.9463 96.7702
1760, 55612, 0.316194:  72.7656 155.57
902, 14096, 0.63764:  45.9314 233.074
154, 3711, 0.409502:  220.487 250.572
214, 5322, 0.398379:  149.157 267.271
245, 5171, 0.46928:  204.014 236.498
5, 54, 0.548293:  48.312 613.654
831, 14480, 0.571924:  139.658 204.941
1107, 28337, 0.389968:  131.148 160.935
2760, 450560, 0.0612503:  19.7317 75.771
67, 2162, 0.302971:  248.196 277.898
272, 6559, 0.411572:  60.9771 273.357
1410, 28245, 0.498322:  80.9455 188.596
613, 10094, 0.604305:  151.364 223.298
737, 12642, 0.580685:  150.36 207.684
1319, 27425, 0.480074:  96.2294 185.458
221, 4784, 0.457203:  208.13 239.293
950, 20869, 0.454134:  140.186 177.068
1361, 20787, 0.653167:  32.6114 215.039
252, 5811, 0.429976:  148.005 262.068
1867, 65123, 0.286468:  64.5648 150.276
452, 9225, 0.487339:  28.5037 258.919
406, 7124, 0.565946:  185.741 225.265
11, 266, 0.352542:  368.728 394.96
1305, 47587, 0.273947:  117.515 130.027
196, 4964, 0.390925:  156.016 269.531
260, 5282, 0.487643:  206.489 225.936
2189, 363136, 0.0602721:  57.8299 54.245
79, 2550, 0.303902:  175.52 307.114
54, 1916, 0.274758:  251.497 289.447
57, 1814, 0.305904:  214.234 317.632
1612, 25821, 0.623093:  19.5918 205.83
65, 2067, 0.307124:  247.162 285.996
124, 3304, 0.369749:  225.841 257.672
2602, 526019, 0.0494612:  32.535 61.2322
1011, 25547, 0.394969:  137.842 160.505
1099, 24511, 0.447458:  126.057 177.469
258, 6382, 0.401132:  41.3015 277.582
410, 7407, 0.549831:  191.106 208.789
565, 10109, 0.556164:  174.753 200.419
208, 4507, 0.456468:  212.753 237.907
1176, 24799, 0.473259:  114.661 183.353
2214, 61105, 0.362031:  19.3267 164.603
1612, 42798, 0.376214:  79.5931 166.745
856, 15570, 0.548018:  139.193 199.964
2367, 269696, 0.0877492:  45.2757 86.4391
1613, 41823, 0.385213:  78.5586 168.368
136, 4195, 0.320399:  67.3358 297.547
509, 8579, 0.589881:  173.527 220.342
288, 5634, 0.506705:  195.815 237.843
174, 4227, 0.406855:  208.222 253.49
133, 3429, 0.382333:  224.948 252.942
2355, 391265, 0.0601817:  47.433 63.6825
1528, 37166, 0.410576:  86.2914 172.188
441, 9041, 0.485102:  31.5147 259.605
694, 11651, 0.593117:  154.89 210.703
382, 8110, 0.468146:  60.7924 261.479
346, 6271, 0.547399:  197.695 220.516
1126, 19105, 0.587838:  94.8696 206.345
89, 2943, 0.297402:  77.8413 317.488
369, 6562, 0.558092:  195.96 216.951
1559, 66475, 0.234348:  100.357 128.108
2122, 51993, 0.40774:  17.418 172.451
202, 4601, 0.43434:  195.456 256.956
797, 16180, 0.491068:  155.262 179.684
1318, 30227, 0.435315:  104.062 176.759
631, 10370, 0.605573:  146.998 223.934
1706, 65921, 0.258599:  83.7366 141.383
1325, 22668, 0.583239:  68.175 203.853
1897, 107657, 0.176126:  73.9485 119.068
613, 10789, 0.565556:  52.0399 246.776
2161, 115425, 0.18714:  50.4636 126.858
1241, 43275, 0.28644:  122.082 129.535
821, 15419, 0.530742:  147.76 194.35
1560, 65075, 0.239539:  99.5738 130.646
784, 12851, 0.607709:  110.055 224.674
5, 65, 0.482805:  187.538 587.971
599, 10585, 0.563241:  88.9128 241.539
404, 8443, 0.475694:  55.9646 259.948
254, 5233, 0.480809:  205.164 231.727
431, 8224, 0.520918:  121.038 248.371
850, 13773, 0.614921:  92.5285 225.473
749, 14883, 0.501576:  160.163 178.746
2629, 415890, 0.0632062:  29.8646 74.2293
1393, 53220, 0.261498:  111.245 131.459
495, 8439, 0.583118:  161.377 230.737
1373, 49559, 0.276764:  113.054 135.457
721, 11861, 0.605328:  79.8292 236.728
1780, 31318, 0.567458:  17.4601 196.54
447, 7736, 0.574119:  184.695 217.643
369, 6874, 0.532943:  171.141 239.992
535, 9181, 0.579577:  175.332 211.761
169, 4208, 0.396927:  196.694 263.741
664, 11194, 0.590543:  160.7 209.009
546, 9472, 0.573417:  130.457 237.123
64, 2131, 0.293521:  224.378 301.637
1755, 36527, 0.47981:  43.4709 184.594
811, 13038, 0.619656:  57.2433 235.577
150, 3924, 0.377483:  207.242 261.639
1860, 129265, 0.143835:  78.8585 103.08
194, 4765, 0.402929:  169.36 267.285
2592, 636733, 0.0407046:  33.8129 50.294
91, 2833, 0.315691:  188.46 296.211
1147, 33911, 0.337741:  129.146 144.653
1082, 18467, 0.58433:  102.752 205.81
1885, 82670, 0.227877:  69.419 135.959
94, 2816, 0.328033:  225.521 276.724
977, 15100, 0.644888:  38.4799 230.734
1116, 23875, 0.466459:  121.382 182.097
184, 4902, 0.371586:  106.459 283.059
752, 14396, 0.520562:  158.17 187.454
151, 3950, 0.37753:  180.419 276.461
653, 10727, 0.605927:  154.764 217.182
1310, 21730, 0.601471:  64.8667 206.776
710, 11576, 0.610706:  132.19 223.543
1306, 36414, 0.358162:  114.498 158.493
1550, 48824, 0.317142:  94.7004 153.086
1007, 16747, 0.599514:  109.763 209.095
647, 10976, 0.586801:  117.507 232.001
605, 10698, 0.562901:  43.5364 248.525
893, 19344, 0.460453:  145.442 177.387
1569, 56255, 0.278661:  95.9483 143.587
151, 4423, 0.337602:  106.802 289.329
2527, 867193, 0.0291383:  38.3499 28.4762
1257, 18907, 0.663082:  36.0926 219.172
1323, 33498, 0.394361:  108.266 168.088
2262, 206102, 0.109725:  50.24 97.7284
198, 4558, 0.429713:  194.808 258.007
1442, 52556, 0.274113:  106.079 139.707
834, 18362, 0.452967:  153.54 163.513
1239, 28872, 0.428394:  114.462 174.025
888, 18863, 0.46952:  144.54 180.663
256, 6003, 0.422945:  135.77 264.07
1786, 87118, 0.204892:  82.5889 125.758
193, 4328, 0.440869:  212.626 244.382
1360, 20135, 0.67377:  17.1644 218.427
2742, 486805, 0.0563207:  22.4179 71.2004
1664, 30080, 0.552274:  35.6368 195.801
607, 10721, 0.563556:  49.6958 247.48
250, 5690, 0.435557:  156.914 260.278
2034, 66609, 0.305135:  46.6209 154.643
69, 2348, 0.287802:  164.027 316.578
651, 10778, 0.601225:  160.457 212.523
490, 8286, 0.587822:  174.368 222.558
167, 4145, 0.398121:  199.317 263.324
3, 55, 0.324918:  458.222 512.259
890, 14242, 0.62273:  89.6326 224.163
838, 15098, 0.553211:  141.162 200.852
2159, 83420, 0.258656:  42.3087 144.95
2180, 130171, 0.167408:  51.4439 120.523
2423, 97180, 0.249203:  18.9532 143.49
325, 7270, 0.443999:  88.5408 263.433
1140, 17528, 0.648541:  54.2344 220.052
788, 12715, 0.617318:  131.001 218.093
2316, 118059, 0.19609:  37.6764 129.988
807, 12861, 0.625053:  76.9187 232.546
394, 7175, 0.545342:  167.221 239.038
308, 6994, 0.437263:  101.215 263.157
1825, 41890, 0.435146:  44.0525 177.931
703, 12205, 0.573648:  157.295 204.67
350, 6312, 0.550158:  198.517 215.589
1040, 24887, 0.417052:  134.743 167.829
896, 13991, 0.638135:  41.6826 234.085
576, 10417, 0.550307:  174.294 197.332
53, 1943, 0.266014:  258.806 227.614
1513, 48857, 0.309363:  98.632 150.729
96, 3227, 0.292985:  89.4554 310.364
953, 17605, 0.539793:  131.394 196.369
2094, 77254, 0.270879:  46.0842 147.618
420, 8821, 0.47346:  24.2321 261.752
1427, 22679, 0.627834:  43.9814 208.56
2341, 84225, 0.277781:  23.035 149.238
862, 13737, 0.625231:  33.521 236.649
1030, 16518, 0.621683:  91.9929 215.356
1920, 87886, 0.218341:  68.1229 133.374
2560, 165902, 0.154261:  24.0058 118.441
425, 7830, 0.539351:  150.925 241.269
323, 6283, 0.510043:  171.86 246.146
515, 8886, 0.576329:  177.225 212.693
754, 15002, 0.500933:  159.078 180.598
1502, 28534, 0.52547:  61.9569 193.08
1430, 34272, 0.416643:  96.0068 172.954
1307, 20329, 0.641348:  47.6603 213.647
439, 8859, 0.492768:  48.9032 258.35
647, 12490, 0.515953:  168.76 178.504
2248, 133288, 0.168594:  46.0192 121.461
2457, 202887, 0.121072:  36.0604 105.078
1114, 28326, 0.392586:  129.908 162.493
764, 15613, 0.487776:  159.297 171.365
1345, 39167, 0.342964:  110.945 156.39
581, 9534, 0.606227:  161.143 221.508
2120, 136811, 0.154902:  56.8549 115.524
1390, 22584, 0.614122:  52.4177 207.349
786, 15101, 0.51878:  154.104 188.998
394, 8341, 0.469559:  45.6579 262.184
173, 3910, 0.436904:  220.414 241.683
15, 414, 0.325169:  242.951 424.545
994, 25078, 0.395575:  139.334 159.432
90, 2969, 0.298153:  66.7696 318.565
484, 9025, 0.533341:  109.663 246.011
1116, 25317, 0.439943:  125.959 175.271
2446, 154469, 0.158298:  32.2625 119.212
2179, 139468, 0.156181:  52.663 116.521
132, 3401, 0.382538:  226.973 249.242
904, 14970, 0.601867:  120.905 211.978
350, 6498, 0.53453:  183.804 236.432
2342, 144719, 0.161775:  40.3376 119.504
749, 12408, 0.601225:  117.177 224.635
213, 4964, 0.424832:  180.106 260.156
293, 5815, 0.499592:  182.683 246.153
2080, 210293, 0.0988861:  63.8261 85.8627
1406, 40418, 0.347435:  104.947 158.54
655, 11046, 0.590309:  105.741 234.988
724, 12216, 0.590254:  36.3813 242.642
2174, 63786, 0.34056:  28.7986 160.903
595, 10133, 0.584314:  131.676 232.273
1789, 45869, 0.389599:  56.8365 170.292
712, 11775, 0.60212:  87.0515 235.795
2822, 580945, 0.0485718:  15.9638 66.772
53, 1791, 0.287993:  249.441 298.757
676, 11632, 0.578673:  58.4569 241.812
102, 3034, 0.330783:  231.941 259.373
107, 3390, 0.311079:  134.462 299.777
212, 5307, 0.395761:  151.022 266.971
1273, 28548, 0.445137:  106.361 178.949
2317, 93396, 0.247951:  29.8843 142.908
191, 4210, 0.448388:  217.559 235.167
371, 6676, 0.551606:  196.223 211.128
1902, 46340, 0.410002:  41.3545 173.558
1612, 31976, 0.503342:  54.0914 188.968
1148, 31288, 0.366329:  127.873 156.614
99, 2913, 0.334168:  211.607 283.147
720, 13047, 0.549748:  157.142 198.998
346, 6255, 0.548788:  197.875 220.509
2047, 173287, 0.118094:  65.2282 97.2085
1361, 26252, 0.517452:  83.6302 191.768
1570, 28331, 0.553188:  47.804 196.514
524, 9458, 0.551122:  179.606 198.892
1608, 44326, 0.362358:  82.661 163.726
793, 12829, 0.615736:  57.1696 236.574
304, 5884, 0.51232:  189.878 239.766
77, 2418, 0.312058:  237.736 280.232
214, 5425, 0.390884:  134.994 270.44
333, 6139, 0.538069:  194.508 229.924
105, 3338, 0.309951:  143.958 298.366
770, 12753, 0.601426:  136.8 215.532
923, 15760, 0.583811:  124.795 206.962
827, 16281, 0.506401:  149.414 187.67
739, 12206, 0.602975:  114.648 226.383
409, 7278, 0.558146:  169.777 236.521
590, 10432, 0.562876:  102.632 239.296
805, 15227, 0.526939:  149.865 193.224
506, 9363, 0.537562:  77.6346 250.536
721, 12771, 0.562363:  155.44 202.508
668, 11221, 0.592677:  160.394 209.053
962, 14881, 0.644301:  31.2978 232.499
1557, 66117, 0.235314:  100.463 128.406
899, 14702, 0.609412:  117.484 214.348
1100, 17613, 0.622773:  85.2136 213.479
952, 15212, 0.623775:  102.258 217.157
448, 8270, 0.538471:  137.637 243.025
496, 9168, 0.538086:  107.373 245.485
1467, 23489, 0.623222:  39.9999 207.52
105, 3019, 0.342176:  210.656 281.279
22, 786, 0.26363:  272.945 363.115
2572, 443853, 0.0579406:  33.4084 68.9269
137, 3666, 0.368709:  201.725 271.571
612, 10797, 0.564217:  44.0494 247.966
377, 6786, 0.551507:  186.341 229.508
1233, 19459, 0.632018:  57.4143 214.192
831, 13395, 0.618078:  109.225 222.485
748, 14736, 0.505887:  160.17 180.383
62, 2196, 0.276115:  91.0534 335.099
272, 5788, 0.46593:  165.924 255.638
815, 14196, 0.572094:  141.305 205.339
505, 8904, 0.564003:  181.189 205.108
1236, 19971, 0.617354:  75.1894 208.931
1608, 44874, 0.357938:  83.2847 162.854
1246, 21674, 0.573561:  82.9593 202.534
1782, 39519, 0.450353:  46.1455 180.205
1626, 28683, 0.565901:  35.8442 198.084
151, 3898, 0.382503:  201.405 266.545
123, 3391, 0.357492:  200.941 277.998
1453, 23040, 0.629278:  41.0973 208.263
70, 2263, 0.302708:  248.48 266.876
75, 2555, 0.287961:  101.472 323.64
1278, 19004, 0.670728:  24.0021 220.657
377, 6682, 0.560027:  193.547 220.086
1903, 67433, 0.281997:  60.961 149.748
570, 10664, 0.53202:  174.981 190.279
419, 8445, 0.49324:  81.0795 255.895
1477, 28337, 0.520309:  67.7797 191.986
1, 27, 0.170772:  505.73 554.934
