EMMET
sample,el_lowm,el_highm,mu_lowm,mu_highm
mcatnlo.top,1.72,6.3,3.68,10.1,
alpgen.wjets,2.36,0.14,5.92,3.96,
alpgen.zjets,13,28.3,0.498,20.5,
herwig.vv,1.35,2.24,6.18,0.416,
qcd,2.7,22.9,62.8,100,
gww.lvjj.m200.kmpl0_1,0.63,nan,67.5,0,
gww.lvjj.m350.kmpl0_1,0.499,7.2,3.12,0,
gww.lvjj.m500.kmpl0_1,0.988,8.59,0.28,4.46,
gww.lvjj.m750.kmpl0_1,1.32,1.16,0.788,0.269,
gww.lvjj.m1000.kmpl0_1,2.33,1.32,3.66,0.536,
gww.lvjj.m1250.kmpl0_1,1.44,0.0645,0.201,1.1,
